,user_id,user_country,sex,height,weight,started,birth,ascent_id,grade_id,method_id,description,climb_type,date,year,name,crag,sector_id,sector,country,rating,user_recommended,score,fra_routes
0,89,ITA,0,172,63,1989,1971-09-18,3402814,62,1,,0,1404252000,2014,Uhu,Fenda,427,Carallon,PRT,2,0,1000,8a
1,361,PRT,0,167,73,1997,1983-03-27,5436,62,1,,0,964562400,2000,Marsupilami,Fenda,427,Carallon,PRT,2,0,1000,8a
2,408,PRT,0,172,63,2001,1985-09-08,36985,62,1,,0,1009494000,2001,Marsupilami,Fenda,427,Carallon,PRT,1,0,1000,8a
4,408,PRT,0,172,63,2001,1985-09-08,141513,62,1,,0,1059343200,2003,Rampa dos crocodilos,Fenda,810,Crocodilos,PRT,3,0,1000,8a
6,408,PRT,0,172,63,2001,1985-09-08,707727,62,1,,0,1184450400,2007,Guardião,Fenda,427,Carallon,PRT,1,0,1000,8a
10,408,PRT,0,172,63,2001,1985-09-08,800578,62,1,,0,1195254000,2007,Tira teimas,Fenda,560,Piratas,PRT,2,0,1000,8a
11,408,PRT,0,172,63,2001,1985-09-08,867781,62,1,,0,1205276400,2008,O rei da branca,Fenda,810,Crocodilos,PRT,2,0,1000,8a
12,408,PRT,0,172,63,2001,1985-09-08,881777,62,1,,0,1206745200,2008,Bombeirada na serra,Fenda,0,Crocodilos,PRT,3,0,1000,8a
13,408,PRT,0,172,63,2001,1985-09-08,1081357,62,1,,0,1225148400,2008,Rred curry on rrice,Fenda,810,Crocodilos,PRT,3,0,1000,8a
17,408,PRT,0,172,63,2001,1985-09-08,1182964,62,1,,0,1237676400,2009,Margem sul,Meio mango,11239,Cabo da boa esperança,PRT,3,1,1000,8a
18,408,PRT,0,172,63,2001,1985-09-08,1256155,62,2,,0,1242856800,2009,Miticoide,Azoia,5764,Varandas,PRT,3,0,1000,8a
22,408,PRT,0,172,63,2001,1985-09-08,1388924,62,1,,0,1252792800,2009,Margem das anilhas,Meio mango,0,Cabo da boa esperança,PRT,3,0,1000,8a
23,408,PRT,0,172,63,2001,1985-09-08,1406205,62,1,,0,1254261600,2009,Nada na manga,Meio mango,0,Poças,PRT,3,0,1000,8a
25,408,PRT,0,172,63,2001,1985-09-08,1562320,62,1,,0,1270850400,2010,Refúgio das freiras,Meio mango,0,Degraus,PRT,3,1,1000,8a
26,408,PRT,0,172,63,2001,1985-09-08,1598363,62,1,,0,1273701600,2010,Matar o bicho,Meio mango,0,Baía,PRT,3,1,1000,8a
28,408,PRT,0,172,63,2001,1985-09-08,1641619,62,1,,0,1276984800,2010,Dia da agonia,Meio mango,0,Baía,PRT,3,1,1000,8a
30,408,PRT,0,172,63,2001,1985-09-08,2295550,62,1,,0,1326322800,2012,Burro sentado,Meio mango,0,Cabo da boa esperança,PRT,3,0,1000,8a
31,408,PRT,0,172,63,2001,1985-09-08,2344001,62,1,,0,1331506800,2012,Eu a ti dobrava-te,Meio mango,0,Poças,PRT,3,1,1000,8a
32,408,PRT,0,172,63,2001,1985-09-08,2452845,62,1,,0,1337983200,2012,Cabo das tormentas,Meio mango,0,Santa Linha,PRT,3,1,1000,8a
